,fault_a_mean,fault_b_mean,absolute_difference,effect_size
s3_error_count,4.0,8.0,4.0,5.5677643628300215
AND_max_bit_errors,2.9375,4.0,1.0625,1.9787993463580014
max_bit_errors,2.9375,4.0,1.0625,1.9787993463580014
total_result_errors,7.5,8.0,0.5,1.3919410907075054
error_vectors,7.5,8.0,0.5,1.3919410907075054
AND_error_rate,0.9375,1.0,0.0625,1.3919410907075054
error_rate,0.234375,0.25,0.015625,1.3919410907075054
AND_result_errors,7.5,8.0,0.5,1.3919410907075054
total_bit_errors,16.0,20.0,4.0,1.0715167512214394
AND_bit_errors,16.0,20.0,4.0,1.0715167512214394
avg_bit_errors,0.5,0.625,0.125,1.0715167512214394
AND_avg_bit_errors,2.0,2.5,0.5,1.0715167512214394
s0_error_count,4.0,4.0,0.0,0.0
s1_error_count,4.0,4.0,0.0,0.0
s2_error_count,4.0,4.0,0.0,0.0
expected_carry_count,1.75,1.75,0.0,0.0
actual_carry_count,1.75,1.75,0.0,0.0
total_carry_errors,0.0,0.0,0.0,
avg_A,7.5,7.5,0.0,
avg_B,7.5,7.5,0.0,
avg_OP,1.5,1.5,0.0,
A_ones_total,64.0,64.0,0.0,
B_ones_total,64.0,64.0,0.0,
ADD_tests,8.0,8.0,0.0,
ADD_result_errors,0.0,0.0,0.0,
ADD_carry_errors,0.0,0.0,0.0,
ADD_bit_errors,0.0,0.0,0.0,
ADD_error_rate,0.0,0.0,0.0,
ADD_avg_bit_errors,0.0,0.0,0.0,
ADD_max_bit_errors,0.0,0.0,0.0,
AND_tests,8.0,8.0,0.0,
AND_carry_errors,0.0,0.0,0.0,
OR_tests,8.0,8.0,0.0,
OR_result_errors,0.0,0.0,0.0,
OR_carry_errors,0.0,0.0,0.0,
OR_bit_errors,0.0,0.0,0.0,
OR_error_rate,0.0,0.0,0.0,
OR_avg_bit_errors,0.0,0.0,0.0,
OR_max_bit_errors,0.0,0.0,0.0,
XOR_tests,8.0,8.0,0.0,
XOR_result_errors,0.0,0.0,0.0,
XOR_carry_errors,0.0,0.0,0.0,
XOR_bit_errors,0.0,0.0,0.0,
XOR_error_rate,0.0,0.0,0.0,
XOR_avg_bit_errors,0.0,0.0,0.0,
XOR_max_bit_errors,0.0,0.0,0.0,
