Feature,Importance
s3_error_count,0.11626849350700444
avg_bit_errors,0.07132247385391073
total_bit_errors,0.06955286164854692
AND_bit_errors,0.044727970678984326
AND_max_bit_errors,0.04274159770377557
AND_avg_bit_errors,0.04193173478944862
max_bit_errors,0.04175918212986823
s2_error_count,0.04162605724618435
OR_bit_errors,0.04148675970074278
OR_avg_bit_errors,0.041328306181802665
OR_result_errors,0.03578107069299976
total_result_errors,0.034345691826518
AND_result_errors,0.03153661446994586
OR_error_rate,0.030668051527899687
OR_max_bit_errors,0.029505997647863512
AND_error_rate,0.02870475960462774
s0_error_count,0.02401549261499993
XOR_max_bit_errors,0.023836740475033535
error_vectors,0.023310949426659247
XOR_error_rate,0.02257735746160957
error_rate,0.021537276789043224
XOR_bit_errors,0.020076659632156352
total_carry_errors,0.019338596734037088
s1_error_count,0.018861068706834176
ADD_carry_errors,0.018236726943444834
XOR_result_errors,0.01743405175235001
XOR_avg_bit_errors,0.016394279949634123
ADD_error_rate,0.01542762719800901
actual_carry_count,0.013846280134679746
expected_carry_count,0.001819268971386074
ADD_result_errors,0.0
ADD_tests,0.0
B_ones_total,0.0
A_ones_total,0.0
avg_OP,0.0
avg_B,0.0
avg_A,0.0
AND_carry_errors,0.0
OR_carry_errors,0.0
OR_tests,0.0
AND_tests,0.0
ADD_bit_errors,0.0
ADD_avg_bit_errors,0.0
ADD_max_bit_errors,0.0
XOR_carry_errors,0.0
XOR_tests,0.0
