fault_id,window_id,num_vectors,total_result_errors,total_carry_errors,total_bit_errors,error_vectors,error_rate,avg_bit_errors,max_bit_errors,avg_A,avg_B,avg_OP,A_ones_total,B_ones_total,ADD_tests,ADD_result_errors,ADD_carry_errors,ADD_bit_errors,ADD_error_rate,ADD_avg_bit_errors,ADD_max_bit_errors,AND_tests,AND_result_errors,AND_carry_errors,AND_bit_errors,AND_error_rate,AND_avg_bit_errors,AND_max_bit_errors,OR_tests,OR_result_errors,OR_carry_errors,OR_bit_errors,OR_error_rate,OR_avg_bit_errors,OR_max_bit_errors,XOR_tests,XOR_result_errors,XOR_carry_errors,XOR_bit_errors,XOR_error_rate,XOR_avg_bit_errors,XOR_max_bit_errors,s0_error_count,s1_error_count,s2_error_count,s3_error_count,expected_carry_count,actual_carry_count,predicted_fault,correct
2,3,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1,6,False
2,7,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1,6,False
2,11,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1,6,False
2,15,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1,6,False
2,19,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1,6,False
2,23,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1,6,False
2,27,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1,6,False
2,31,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1,6,False
4,3,32,2,0,2,2,0.0625,0.0625,1,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,2,0,2,0.25,0.25,1,8,0,0,0,0.0,0.0,0,0,0,2,0,1,1,1,False
4,7,32,2,0,2,2,0.0625,0.0625,1,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,2,0,2,0.25,0.25,1,8,0,0,0,0.0,0.0,0,0,0,2,0,1,1,1,False
4,11,32,2,0,2,2,0.0625,0.0625,1,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,2,0,2,0.25,0.25,1,8,0,0,0,0.0,0.0,0,0,0,2,0,1,1,1,False
4,15,32,2,0,2,2,0.0625,0.0625,1,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,2,0,2,0.25,0.25,1,8,0,0,0,0.0,0.0,0,0,0,2,0,1,1,1,False
4,19,32,2,0,2,2,0.0625,0.0625,1,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,2,0,2,0.25,0.25,1,8,0,0,0,0.0,0.0,0,0,0,2,0,1,1,1,False
4,23,32,2,0,2,2,0.0625,0.0625,1,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,2,0,2,0.25,0.25,1,8,0,0,0,0.0,0.0,0,0,0,2,0,1,1,1,False
4,27,32,2,0,2,2,0.0625,0.0625,1,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,2,0,2,0.25,0.25,1,8,0,0,0,0.0,0.0,0,0,0,2,0,1,1,1,False
4,31,32,2,0,2,2,0.0625,0.0625,1,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,2,0,2,0.25,0.25,1,8,0,0,0,0.0,0.0,0,0,0,2,0,1,1,1,False
